English,Malay
abandon,meninggalkan
ability,keupayaan
able,mampu
abortion,pengguguran
about,kira-kira
abroad,di luar negara
absence,ketiadaan
absolute,mutlak
absolutely,sama sekali
absorb,menyerap
abuse,penyalahgunaan
academic,akademik
accept,menerima
access,akses
accident,kemalangan
accompany,menemani
accomplish,dicapai
according,Menurut
account,akaun
accurate,tepat
accuse,menuduh
achieve,mencapai
achievement,pencapaian
acid,asid
acknowledge,mengakui
acquire,memperoleh
across,di seluruh
act,bertindak
action,tindakan
activist,aktivis
activity,aktiviti
actor,pelakon
actress,pelakon
actual,sebenarnya
actually,sebenarnya
ad,iklan
adapt,menyesuaikan
add,Tambah
addition,tambahan
additional,tambahan
address,alamat
adjust,melaraskan
adjustment,pelarasan
administration,Pentadbiran
administrator,pentadbir
admire,mengagumi
admission,kemasukan
admit,mengaku
adolescent,remaja
adopt,menerima pakai
adult,dewasa
advance,maju
advanced,maju
advantage,Kelebihan
adventure,pengembaraan
advertising,mengiklankan
advice,nasihat
advise,Nasihatkan
adviser,penasihat
advocate,Peguambela
affair,urusan
affect,menjejaskan
afford,mampu
African,Afrika
after,selepasnya.
afternoon,petang
again,sekali lagi
against,terhadap
age,umur
agency,agensi
agenda,agenda
agent,ejen
aggressive,agresif
ago,yang lalu
agree,bersetuju
agreement,perjanjian
agricultural,pertanian.
ah,ah.
ahead,di hadapan
aid,bantuan
aide,Aide
AIDS,bantuan
aim,tujuan
air,Air
aircraft,kapal terbang
airline,Syarikat Penerbangan
airport,lapangan terbang
album,album.
alcohol,alkohol
alive,hidup
all,semua
alliance,Perikatan
allow,membenarkan
ally,sekutu
almost,hampir
alone,sahaja
along,bersama
already,sudah
also,Juga
alter,diubah
alternative,alternatif
although,walaupun
always,sentiasa
AM,Kediamanan
amazing,luar biasa
among,antara
amount,jumlahnya
analysis,analisis
analyst,penganalisis
analyze,menganalisis
ancient,purba
and,dan
anger,kemarahan
angle,sudut
angry,marah
animal,haiwan
anniversary,ulang tahun
announce,mengumumkan
annual,tahunan
another,yang lain
answer,Jawapan
anticipate,menjangka
anxiety,kebimbangan
any,mana-mana
anybody,sesiapa sahaja
anymore,lagi
anyone,sesiapa
anything,apa sahaja
anyway,Bagaimanapun
anywhere,di mana sahaja
apart,Apartment
apartment,Pangsapuri
apparent,jelas
apparently,nampaknya
appeal,rayuan
appear,muncul
appearance,penampilan
apple,epal
application,permohonan
apply,memohon
appoint,melantik
appointment,pelantikan
appreciate,menghargai
approach,pendekatan
appropriate,sesuai
approval,kelulusan
approve,terima
approximately,lebih kurang
Arab,Arab.
architect,arkitek
area,kawasan
argue,argue.
argument,hujah
arise,timbul.
armed,bersenjata
army,tentera
around,sekitar
arrange,mengatur
arrangement,susunan
arrest,Penangkapan
arrival,Ketibaan
arrive,tiba
art,seni
article,artikel
artist,artis
artistic,artistik
as,-
Asian,Asian
aside,selainnya
ask,tanya
asleep,tidur
aspect,aspek
assault,serangan
assert,menegaskan
assess,menilai
assessment,taksiran.
asset,aset
assign,menyerahkan
assignment,tugasan
assist,membantu
assistance,bantuan
assistant,pembantu
associate,bersekutu
association,persatuan
assume,assume.
assure,memberi jaminan
at,di sini
athlete,atlet
athletic,Athletic.
atmosphere,suasana
attach,melampirkan
attack,serang
attempt,percubaan
attend,hadir
attention,perhatian
attitude,sikap
attorney,peguam
attract,tertarik
attractive,menarik
attribute,atribut
audience,penonton
author,pengarang
authority,kuasa
auto,auto.
available,Tersedia
average,purata
avoid,mengelakkan
award,anugerah
aware,menyedari
awareness,kesedaran
away,jauhnya
awful,dahsyat
baby,bayi
back,BACK.
background,latar belakang
bad,Bad
badly,teruk
bag,beg
